completion date,Title,author(s),pages,review,rating,status,format,platform,publisher,Imprint,publication date,type,genre,language
2/16/2018,My Lady Jane,"Cynthia Hand, Brodi Ashton, Jodi Meadows",352,y,3,Completed,Physical Book,,Trustbridge Global Media,Walker Books,9/1/2016,Fiction,Humour/ Satire,eng
3/31/2017,Lady Chatterley's Lover,D. H. Lawrence,384,y,4.5,Completed,Physical Book,,Alma Books,Alma Classics,3/15/2015,Fiction,Romance,eng
4/18/2022,"Thinking, Fast and Slow",Daniel Kahneman,512,y,4,Completed,Audiobook,BorrowBox,Penguin,Penguin,5/10/2021,Nonfiction,Psychology,eng
4/13/2022,Dishonesty is the Second-Best Policy: And Other Rules to Live By,David Mitchell,272,y,4,Completed,Audiobook,Audible,Faber & Faber,Guardian Faber Publishing,9/3/2020,Nonfiction,Humour/ Satire,eng
9/10/2021,A House Through Time,David Olusoga,304,y,4.5,Completed,Audiobook,BorrowBox,Macmillan Publishers,Picador,9/2/2021,Nonfiction,Architectural History,eng
2/28/2019,Jacques the Fatalist and His Master,Denis Diderot,261,y,2.5,Completed,Physical Book,,Penguin Random House,Penguin Classics,1/30/1986,Fiction,Humour/ Satire,jp
8/22/2020,Once Upon a River,Diane Setterfield,432,y,3.5,Completed,Physical Book,,penguin,Black Swan,8/29/2019,Fiction,Fantasy,eng
8/14/2021,The Hitchhiker's Guide to the Galaxy,Douglas Adams,244,y,3,Completed,Audiobook,Libby,Macmillan Publishers,Pan,3/5/2020,Fiction,Humour/ Satire,eng
3/19/2019,A Room with a View,E.M. Forster,256,y,4,Completed,Physical Book,,Penguin Random House,Penguin Classics,9/27/2012,Fiction,Romance,eng
,Maurice,E.M. Forster,272,n,,Completed,Physical Book,,Penguin Random House,Penguin Classics,7/28/2005,Fiction,Romance,eng
1/10/2022,The Ex Hex: Never mix witchcraft and vodka . . . a spellbinding TikTok-sensation rom-com! Kindle Edition,Erin Sterling,322,y,3,Completed,Audiobook,Audible,Hachette Book,Headline Eternal,9/28/2021,Fiction,Fantasy,eng
2/17/2017,The Great Gatsby,F. Scott Fitzgerald,256,n,,Completed,Physical Book,,Alma Books,Alma Classics,10/20/2016,Fiction,Literary Fiction,eng
,If I Had Your Face,Frances Cha,288,,,incomplete,Audiobook,Libby,Penguin,Penguin,6/24/2021,Fiction,Contemporary,eng
,THE SECRET GARDEN,Frances Hodgson Burnett,375,n,5,Completed,Physical Book,,William Collins,Collins Classics,6/1/2017,Fiction,Adventure,eng
2/20/2022,Metamorphosis,Franz Kafka,72,y,3,Completed,Audiobook,Audible,Blackstone,Blackstone Audio,4/27/2011,Fiction,Literary Fiction,eng
,The Thief,Fuminori Nakamura,224,,,DNF,Audiobook,Audible,Hachette Book,Corsair,5/16/2013,Fiction,Literary Fiction,eng
3/10/2019,Crime and Punishment,Fyodor Dostoevsky,528,y,2.5,Completed,Physical Book,,Wordsworth Editions,Wordsworth Editions,5/5/2000,Fiction,Literary Fiction,eng
12/10/2018,Eleanor Oliphant is Completely Fine,Gail Honeyman,400,y,5,Completed,Physical Book,,HarperCollins,HarperCollins,1/25/2018,Fiction,Contemporary,eng
,1984,George Orwell,336,n,,Completed,Physical Book,,Penguin,Penguin,7/3/2008,Fiction,Dystopian,eng
2/6/2021,Why Mummy Drinks,Gill Sims,352,y,3,Completed,Audiobook,BorrowBox,HarperCollins,HarperCollins,5/31/2018,Nonfiction,Humour/ Satire,eng
4/1/2022,Economics: The User's Guide,Ha-Joon Chang,365,n,3,Completed,Audiobook,Audible,Penguin,Pelican,5/1/2014,Nonfiction,Economics,eng
12/12/2021,Economics: The User's Guide,Ha-Joon Chang,365,y,4,Completed,Audiobook,Audible,Penguin,Pelican,5/1/2014,Nonfiction,Economics,eng
4/26/2022,23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,288,y,4.5,Completed,Physical Book,,Penguin,Penguin,9/1/2011,Nonfiction,Economics,eng
2/18/2020,The Five: The Untold Lives of the Women Killed by Jack the Ripper,Hallie Rubenhold,432,y,5,Completed,Audiobook,BorrowBox,penguin,Black Swan,1/30/2020,Nonfiction,History,eng
1/6/2022,Hello World: How to be Human in the Age of the Machine,Hannah Fry,320,y,4.5,Completed,Audiobook,Audible,penguin,Black Swan,3/28/2019,Nonfiction,Data,eng
4/29/2022,Factfulness: Ten Reasons We'Re Wrong About The World - And Why Things Are Better Than You Think,"Hans Rosling,Ola Rosling,Anna Rosling Roennlund",352,y,4.5,Completed,Audiobook,Youtube,Hachette Book,Sceptre,6/27/2019,Nonfiction,Data,eng
1/3/2019,Hard-Boiled Wonderland And The End Of The World,Haruki Murakami,416,y,3,Completed,Physical Book,,Penguin Random House,Vintage,1/1/2001,Fiction,Magical realism,eng
11/26/2020,The Travelling Cat Chronicles,Hiro Arikawa,256,y,5,Completed,Physical Book,,penguin,Doubleday,11/2/2017,Fiction,Adventure,eng
7/13/2017,Live and Let Die,Ian Fleming,336,y,4,Completed,Physical Book,,Penguin Random House,Vintage Classics,9/6/2012,Fiction,Thriller,eng
5/18/2017,Casino Royale,Ian Fleming,256,y,4.5,Completed,Physical Book,,Penguin Random House,Vintage Classics,9/6/2012,Fiction,Thriller,eng
1/5/2018,Diamonds are Forever,Ian Fleming,336,y,2.5,Completed,Physical Book,,Penguin Random House,Vintage Classics,9/6/2012,Fiction,Thriller,eng
12/10/2017,Moonraker,Ian Fleming,352,y,3.75,Completed,Physical Book,,Penguin Random House,Vintage Classics,9/6/2012,Fiction,Thriller,eng
6/6/2020,Professor Stewart's Cabinet of Mathematical Curiosities,Ian Stewart,320,y,3,Completed,Physical Book,,Penguin Random House,Profile Books,7/1/2007,Nonfiction,Mathematics,eng
2/2/2019,The Mermaid and Mrs Hancock,Imogen Hermes Gowar,496,y,1,Completed,Physical Book,,Penguin Random House,Vintage,1/24/2019,Fiction,Fantasy,eng
5/10/2017,If On A Winter's Night A Traveller,Italo Calvino,272,y,4,Completed,Physical Book,,Penguin Random House,Vintage Classics,2/20/1992,Fiction,Humour/ Satire,eng
11/7/2019,Harry Potter and the Goblet of Fire,J. K. Rowling,640,y,2.75,Completed,Physical Book,,Bloomsbury,Bloomsbury Children's Books,9/1/2014,Fiction,Bildungsroman,eng
