completion date,Title,author(s),pages,review,rating,status,format,platform,publisher,Imprint,publication date,type,genre,language
05-17-18,デュラララ!!×2,成田 良悟,360,n,3,Completed,Physical Book,,KADOKAWA,アスキーメディアワークス,10-Mar-2005,Fiction,Fantasy,jp
05-23-17,純愛ロマンチカ (2),藤崎 都,228,n,3,Completed,Physical Book,,KADOKAWA,角川ルビー文庫,31-Mar-2005,Fiction,Romance,jp
02-22-17,伯爵と妖精 恋人は幽霊,谷 瑞恵,304,n,,Completed,Physical Book,,集英社,コバルト文庫,1-Jun-2005,Fiction,Romance,jp
11-18-20,GOTH 夜の章,乙一,190,y,4,Completed,Physical Book,,KADOKAWA,角川文庫,25-Jun-2005,Fiction,Thriller,jp
04-18-19,GOTH 僕の章,乙一,253,n,5,Completed,Physical Book,,KADOKAWA,角川文庫,25-Jun-2005,Fiction,Thriller,jp
03-25-19,GOTH 夜の章,乙一,190,y,4,Completed,Physical Book,,KADOKAWA,角川文庫,25-Jun-2005,Fiction,Thriller,jp
,Maurice,E.M. Forster,272,n,,Completed,Physical Book,,Penguin Random House,Penguin Classics,28-Jul-2005,Fiction,Romance,eng
03-05-17,伯爵と妖精 呪いのダイヤに愛をこめて,谷 瑞恵,288,n,3,Completed,Physical Book,,集英社,コバルト文庫,1-Sep-2005,Fiction,Romance,jp
06-02-17,取り換えられたプリンセス 伯爵と妖精,谷 瑞恵,282,n,4,Completed,Physical Book,,集英社,コバルト文庫,1-Nov-2005,Fiction,Romance,jp
08-17-20,陽気なギャングが地球を回す,伊坂 幸太郎,394,y,5,Completed,Physical Book,,祥伝社,祥伝社文庫,8-Feb-2006,Fiction,Humour/ Satire,jp
,陽気なギャングが地球を回す,伊坂 幸太郎,394,n,5,Completed,Physical Book,,祥伝社,祥伝社文庫,8-Feb-2006,Fiction,Humour/ Satire,jp
08-31-17,伯爵と妖精 涙の秘密をおしえて,谷 瑞恵,288,y,3.5,Completed,Physical Book,,集英社,コバルト文庫,31-Mar-2006,Fiction,Romance,jp
07-10-18,Freakonomics,"Steven D. Levitt, Stephen J. Dubner",336,y,4.5,Completed,Physical Book,,Penguin Random House,Penguin,6-Apr-2006,Nonfiction,Economics,eng
04-08-22,Freakonomics,"Steven D. Levitt, Stephen J. Dubner",336,y,3,Completed,Audiobook,Libby,Penguin Random House,Penguin,6-Apr-2006,Nonfiction,Economics,eng
12-13-20,ZOO 1,乙一,272,y,5,Completed,Physical Book,,集英社,集英社文庫,19-May-2006,Fiction,Horror,jp
10-04-17,伯爵と妖精 駆け落ちは月夜を待って,谷 瑞恵,266,n,3,Completed,Physical Book,,集英社,コバルト文庫,30-Jun-2006,Fiction,Romance,jp
10-06-21,The Haunted Hotel & Other Stories,Wilkie Collins,336,n,3,Completed,Physical Book,,Wordsworth Editions,Wordsworth Editions,5-Aug-2006,Fiction,Horror,eng
06-25-18,デュラララ!!×3,成田 良悟,456,n,3,Completed,Physical Book,,KADOKAWA,アスキーメディアワークス,10-Aug-2006,Fiction,Fantasy,jp
01-11-21,夜のピクニック,恩田 陸,455,y,2,Completed,Physical Book,,新潮社,新潮文庫,7-Sep-2006,Fiction,Contemporary,jp
01-19-18,伯爵と妖精 女神に捧ぐ鎮魂歌,谷 瑞恵,273,y,4,Completed,Physical Book,,集英社,コバルト文庫,3-Oct-2006,Fiction,Romance,jp
06-21-20,The Lies of Locke Lamora,Scott Lynch,736,y,5,Completed,Physical Book,,Orion,Gollancz,1-Feb-2007,Fiction,Fantasy,eng
03-09-18,伯爵と妖精 ロンドン橋に星は灯る,谷 瑞恵,304,y,3,Completed,Physical Book,,集英社,コバルト文庫,1-Mar-2007,Fiction,Romance,jp
10-16-20,葉桜の季節に君を想うということ,歌野 晶午,477,y,2.5,Completed,Physical Book,,文藝春秋,文春文庫,10-May-2007,Fiction,Mystery,jp
01-10-19,伯爵と妖精 花嫁修業は薔薇迷宮で,谷 瑞恵,288,n,3,Completed,Physical Book,,集英社,コバルト文庫,1-Jun-2007,Fiction,Romance,jp
06-06-20,Professor Stewart's Cabinet of Mathematical Curiosities,Ian Stewart,320,y,3,Completed,Physical Book,,Penguin Random House,Profile Books,1-Jul-2007,Nonfiction,Mathematics,eng
,夢をかなえるゾウ,水野 敬也,357,n,,DNF,Audiobook,Audible,飛鳥新社,飛鳥新社,11-Aug-2007,Fiction,Self-Esteem,jp
09-10-18,伯爵と妖精 紳士の射止めかた教えます,谷 瑞恵,256,y,3,Completed,Physical Book,,集英社,コバルト文庫,2-Oct-2007,Fiction,Romance,jp
07-10-20,Red Seas Under Red Skies,Scott Lynch,784,y,4,Completed,Physical Book,,Orion,Gollancz,8-Nov-2007,Fiction,Fantasy,eng
01-08-20,オレたちバブル入行組,池井戸 潤,368,y,4,Completed,Physical Book,,文藝春秋,文春文庫,6-Dec-2007,Fiction,経済小説,jp
01-15-19,伯爵と妖精 紅の騎士に願うならば,谷 瑞恵,288,n,3,Completed,Physical Book,,集英社,コバルト文庫,26-Dec-2007,Fiction,Romance,jp
07-02-21,死神の精度,伊坂 幸太郎,345,y,4,Completed,Audiobook,Audible,文藝春秋,文春文庫,8-Feb-2008,Fiction,Mystery,jp
11-09-20,伯爵と妖精 誰がために聖地は夢みる,谷 瑞恵,288,y,2.5,Completed,Physical Book,,集英社,コバルト文庫,1-Mar-2008,Fiction,Romance,jp
10-03-19,デュラララ!!×4,成田 良悟,392,n,4,Completed,Physical Book,,KADOKAWA,電撃文庫,10-Mar-2008,Fiction,Fantasy,jp
,ヘタリア Axis Powers,日丸屋 秀和,134,n,,Completed,Manga,,幻冬舎,幻冬舎コミックス,28-Mar-2008,Fiction,Humour/ Satire,jp
,ヴァンパイア騎士 憂氷(アイスブルー)の罪,"樋野 まつり, 藤咲 あゆな",188,n,,Completed,Physical Book,,白泉社,花とゆめCOMICSスペシャルララノベルズ,5-Apr-2008,Fiction,Fantasy,jp
11-17-20,さまよう刃,東野 圭吾,499,y,5,Completed,Physical Book,,KADOKAWA,角川文庫,24-May-2008,Fiction,Mystery,jp
,1984,George Orwell,336,n,,Completed,Physical Book,,Penguin Random House,Penguin,3-Jul-2008,Fiction,Dystopian,eng
11-14-20,伯爵と妖精 運命の赤い糸を信じますか?,谷 瑞恵,256,y,2.5,Completed,Physical Book,,集英社,コバルト文庫,1-Aug-2008,Fiction,Romance,jp
08-26-17,ストロベリーナイト,誉田 哲也,435,y,4,Completed,Physical Book,,光文社,光文社文庫,9-Sep-2008,Fiction,Mystery,jp
12-31-20,妖怪アパートの幽雅な日常 1,香月 日輪,256,y,4.5,Completed,Physical Book,,講談社,講談社文庫,15-Oct-2008,Fiction,Fantasy,jp
10-24-17,妖怪アパートの幽雅な日常 1,香月 日輪,256,y,4.5,Completed,Physical Book,,講談社,講談社文庫,15-Oct-2008,Fiction,Fantasy,jp
12-28-20,伯爵と妖精 誓いのキスを夜明けまでに,谷 瑞恵,304,y,2.5,Completed,Physical Book,,集英社,コバルト文庫,31-Oct-2008,Fiction,Romance,jp
12-30-20,伯爵と妖精 紳士淑女のための愛好者読本,谷 瑞恵 with アシェンバート伯爵家,160,y,2.5,Completed,Physical Book,,集英社,コバルト文庫,28-Nov-2008,Fiction,Fantasy,jp
,ヘタリア 2―axis powers 特装版,日丸屋 秀和,132,n,4,Completed,Manga,,幻冬舎,幻冬舎コミックス,1-Dec-2008,Fiction,Humour/ Satire,jp
02-28-17,夜は短し歩けよ乙女,森見 登美彦,320,n,1,Completed,Physical Book,,KADOKAWA,角川文庫,25-Dec-2008,Fiction,Magical realism,jp
10-27-20,デュラララ!!×5,成田 良悟,328,y,4,Completed,Physical Book,,KADOKAWA,電撃文庫,10-Mar-2009,Fiction,Fantasy,jp
